,date,open,high,low,close,volume,amount,outstanding_share,turnover
333,2021-05-21,4.38,4.41,4.32,4.33,20421302.0,126987620.0,2381485290.0,0.008575027561896046
334,2021-05-24,4.34,4.56,4.34,4.49,51943048.0,331515371.0,2381485290.0,0.02181119833832776
335,2021-05-25,4.48,4.53,4.42,4.48,42000307.0,268355499.0,2381485290.0,0.017636181578094063
336,2021-05-26,4.49,4.55,4.46,4.48,36845138.0,236054139.0,2381485290.0,0.015471495102117552
337,2021-05-27,4.48,4.55,4.46,4.53,44015902.0,283166279.0,2381485290.0,0.0184825420441711
338,2021-05-28,4.53,4.55,4.41,4.44,41552865.0,264185433.0,2381485290.0,0.01744829799053682
339,2021-05-31,4.44,4.55,4.41,4.52,47794518.0,307053159.0,2381485290.0,0.02006920563427037
340,2021-06-01,4.51,4.63,4.48,4.6,67039048.0,436434280.0,2381485290.0,0.028150099554047636
341,2021-06-02,4.6,4.62,4.49,4.51,42140171.0,272543103.0,2381485290.0,0.01769491131309906
342,2021-06-03,4.53,4.56,4.46,4.47,33893209.0,217686046.0,2381485290.0,0.014231962356567821
343,2021-06-04,4.48,4.51,4.45,4.48,29604249.0,188949583.0,2381485290.0,0.012431002250700445
344,2021-06-07,4.47,4.53,4.45,4.5,31053283.0,199058516.0,2381485290.0,0.013039460344514663
345,2021-06-08,4.5,4.57,4.46,4.54,44485548.0,286450397.0,2381485290.0,0.018679749224904934
346,2021-06-09,4.53,4.57,4.45,4.47,34647972.0,222626010.0,2381485290.0,0.014548891880831227
347,2021-06-10,4.65,4.8,4.59,4.71,130793641.0,878209766.0,2381485290.0,0.05492103669470912
348,2021-06-11,4.67,4.76,4.57,4.57,76468275.0,506719569.0,2381485290.0,0.03210948869644288
349,2021-06-15,4.57,4.6,4.48,4.49,41229497.0,265992942.0,2381485290.0,0.017312513821993836
350,2021-06-16,4.49,4.54,4.42,4.44,43510546.0,277881517.0,2381485290.0,0.0182703400196102
351,2021-06-17,4.43,4.46,4.39,4.44,33259458.0,209807426.0,2381485290.0,0.013965846499098048
352,2021-06-18,4.46,4.5,4.42,4.5,28537393.0,180078926.0,2381485290.0,0.011983022998223096
353,2021-06-21,4.48,4.52,4.45,4.48,35055227.0,221949383.0,2381485290.0,0.014719900705328312
354,2021-06-22,4.5,4.51,4.4,4.42,46840662.0,293186774.0,2381485290.0,0.019668675761587425
355,2021-06-23,4.4,4.42,4.35,4.4,41176981.0,254986752.0,2381485290.0,0.0172904620376639
356,2021-06-24,4.43,4.45,4.36,4.38,33164409.0,206356078.0,2381485290.0,0.0139259348521947
357,2021-06-25,4.39,4.43,4.37,4.41,28210562.0,175163886.0,2381485290.0,0.01184578469514712
358,2021-06-28,4.4,4.45,4.4,4.4,27290080.0,170341142.0,2381485290.0,0.011459268765838146
359,2021-06-29,4.4,4.43,4.28,4.29,46786506.0,286034000.0,2381485290.0,0.019645935331391445
360,2021-06-30,4.28,4.32,4.28,4.28,18934759.0,114869832.0,2381485290.0,0.007950819213332197
361,2021-07-01,4.3,4.31,4.19,4.2,32927013.0,197097593.0,2381485290.0,0.013826250843648923
362,2021-07-02,4.19,4.22,4.17,4.17,19047453.0,112724082.0,2381485290.0,0.007998140101885744
363,2021-07-05,4.18,4.24,4.16,4.22,18946926.0,112645913.0,2381485290.0,0.007955928209827406
364,2021-07-06,4.28,4.28,4.23,4.26,23295798.0,139807610.0,2381485290.0,0.009782045724918167
365,2021-07-07,4.25,4.27,4.21,4.26,20595099.0,123516663.0,2381485290.0,0.00864800596773789
366,2021-07-08,4.24,4.26,4.2,4.21,23139281.0,137910893.0,2381485290.0,0.009716323295030724
367,2021-07-09,4.19,4.22,4.16,4.21,21655134.0,128163908.0,2381485290.0,0.009093121041280922
368,2021-07-12,4.23,4.34,4.21,4.31,40480894.0,244955590.0,2381485290.0,0.01699817091878825
369,2021-07-13,4.31,4.32,4.28,4.29,24841221.0,150565298.0,2381485290.0,0.010430978139697013
